id,filename,sortOrder,link
605405042,605405042.jpg,3,https://www.gap.com/webcontent/0056/461/502/cn56461502.jpg
605405042,605405042.jpg,4,https://www.gap.com/webcontent/0056/168/342/cn56168342.jpg
605405042,605405042.jpg,5,https://www.gap.com/webcontent/0059/642/422/cn59642422.jpg
889862002,889862002.jpg,0,https://www.gap.com/webcontent/0061/457/433/cn61457433.jpg
889862002,889862002.jpg,1,https://www.gap.com/webcontent/0061/455/390/cn61455390.jpg
889862002,889862002.jpg,2,https://www.gap.com/webcontent/0061/455/469/cn61455469.jpg
889862002,889862002.jpg,3,https://www.gap.com/webcontent/0061/455/534/cn61455534.jpg
889862002,889862002.jpg,4,https://www.gap.com/webcontent/0061/455/616/cn61455616.jpg
889862002,889862002.jpg,5,https://www.gap.com/webcontent/0061/455/637/cn61455637.jpg
887073002,887073002.jpg,0,https://www.gap.com/webcontent/0061/456/756/cn61456756.jpg
887073002,887073002.jpg,1,https://www.gap.com/webcontent/0061/454/957/cn61454957.jpg
887073002,887073002.jpg,2,https://www.gap.com/webcontent/0061/454/979/cn61454979.jpg
887073002,887073002.jpg,3,https://www.gap.com/webcontent/0061/454/993/cn61454993.jpg
887073002,887073002.jpg,4,https://www.gap.com/webcontent/0061/455/002/cn61455002.jpg
887073002,887073002.jpg,5,https://www.gap.com/webcontent/0061/440/386/cn61440386.jpg
881122002,881122002.jpg,0,https://www.gap.com/webcontent/0057/584/124/cn57584124.jpg
881122002,881122002.jpg,1,https://www.gap.com/webcontent/0057/583/647/cn57583647.jpg
881122002,881122002.jpg,2,https://www.gap.com/webcontent/0057/583/617/cn57583617.jpg
881122002,881122002.jpg,3,https://www.gap.com/webcontent/0057/583/611/cn57583611.jpg
881122002,881122002.jpg,4,https://www.gap.com/webcontent/0057/583/660/cn57583660.jpg
881122002,881122002.jpg,5,https://www.gap.com/webcontent/0057/423/985/cn57423985.jpg
502315002,502315002.jpg,0,https://www.gap.com/webcontent/0060/077/210/cn60077210.jpg
502315002,502315002.jpg,1,https://www.gap.com/webcontent/0060/077/238/cn60077238.jpg
502315002,502315002.jpg,2,https://www.gap.com/webcontent/0060/077/211/cn60077211.jpg
502315002,502315002.jpg,3,https://www.gap.com/webcontent/0060/077/215/cn60077215.jpg
502315002,502315002.jpg,4,https://www.gap.com/webcontent/0060/077/241/cn60077241.jpg
502315002,502315002.jpg,5,https://www.gap.com/webcontent/0061/063/590/cn61063590.jpg
819575002,819575002.jpg,0,https://www.gap.com/webcontent/0059/178/483/cn59178483.jpg
